open_time_ms,open,high,low,close,volume,close_time_ms
1761413400000,0.6549,0.6554,0.6543,0.6546,193416.6,1761414299999
1761414300000,0.6547,0.6549,0.6542,0.6545,100766.0,1761415199999
1761415200000,0.6545,0.656,0.6536,0.6558,247075.6,1761416099999
1761416100000,0.6558,0.6574,0.6554,0.6572,276470.7,1761416999999
1761417000000,0.6571,0.6589,0.6568,0.6584,688090.9,1761417899999
1761417900000,0.6583,0.6592,0.6575,0.658,392021.0,1761418799999
1761418800000,0.658,0.6582,0.6568,0.6575,302583.8,1761419699999
1761419700000,0.6575,0.6577,0.6569,0.6574,398027.5,1761420599999
1761420600000,0.6574,0.6579,0.6568,0.6571,196644.4,1761421499999
1761421500000,0.6572,0.6576,0.6567,0.6576,189173.4,1761422399999
1761422400000,0.6577,0.6589,0.6577,0.6584,369184.6,1761423299999
1761423300000,0.6583,0.6589,0.6577,0.6578,263089.7,1761424199999
1761424200000,0.6579,0.6579,0.6555,0.6567,673306.8,1761425099999
1761425100000,0.6568,0.658,0.6557,0.6558,426633.8,1761425999999
1761426000000,0.6559,0.6566,0.6553,0.6561,434095.8,1761426899999
1761426900000,0.6561,0.6564,0.6549,0.6558,390509.4,1761427799999
1761427800000,0.6557,0.6557,0.6544,0.6544,335905.7,1761428699999
1761428700000,0.6544,0.6558,0.6539,0.6556,295933.6,1761429599999
1761429600000,0.6556,0.6556,0.6536,0.6539,464355.1,1761430499999
1761430500000,0.6538,0.6547,0.6537,0.6545,296030.0,1761431399999
1761431400000,0.6546,0.6561,0.6544,0.656,309809.7,1761432299999
1761432300000,0.6561,0.6572,0.6557,0.6562,294169.9,1761433199999
1761433200000,0.6562,0.6563,0.6552,0.6559,349445.3,1761434099999
1761434100000,0.6559,0.656,0.6544,0.6549,216096.6,1761434999999
1761435000000,0.6549,0.6556,0.6542,0.6551,178869.2,1761435899999
1761435900000,0.655,0.6552,0.6539,0.6542,331308.2,1761436799999
1761436800000,0.6542,0.6544,0.6519,0.6534,667229.7,1761437699999
