t,o,h,l,c,v
1761413400000,111356.0,111357.28,111300.0,111333.16,34.26814
1761414300000,111333.16,111374.97,111300.0,111374.96,41.16208
1761415200000,111374.97,111440.0,111317.34,111440.0,29.69038
1761416100000,111439.99,111599.99,111409.68,111599.99,46.35977
1761417000000,111599.99,111731.78,111597.31,111670.23,78.34003
1761417900000,111670.23,111720.0,111600.0,111719.98,73.53308
1761418800000,111719.98,111719.99,111605.47,111605.48,38.95233
1761419700000,111605.48,111660.0,111605.48,111635.87,48.3732
1761420600000,111635.87,111720.0,111600.0,111638.32,60.19511
1761421500000,111638.32,111638.33,111579.75,111623.45,23.08735
1761422400000,111623.46,111659.39,111600.0,111600.0,23.36746
1761423300000,111600.01,111600.01,111524.8,111534.75,25.88979
1761424200000,111534.76,111536.0,111370.0,111478.54,76.46761
1761425100000,111478.55,111511.55,111386.9,111431.94,28.61363
1761426000000,111431.94,111458.42,111393.69,111458.36,39.14302
1761426900000,111458.36,111458.36,111383.43,111401.94,34.27831
1761427800000,111401.95,111414.72,111342.25,111355.46,39.34336
1761428700000,111355.47,111477.76,111350.62,111477.76,20.70496
1761429600000,111477.76,111477.76,111413.86,111413.86,44.59347
1761430500000,111413.87,111520.0,111409.54,111503.14,35.50339
1761431400000,111503.14,111620.0,111503.13,111599.95,49.89323
1761432300000,111599.96,111683.64,111596.21,111621.69,29.64728
1761433200000,111621.69,111671.06,111545.8,111643.8,30.57663
1761434100000,111643.8,111654.98,111570.22,111640.25,25.61497
1761435000000,111640.25,111640.26,111535.48,111570.12,24.28283
1761435900000,111570.12,111675.49,111536.0,111646.27,37.81833
1761436800000,111646.27,111646.28,111544.15,111576.22,51.37141
1761437700000,111576.23,111769.0,111576.23,111742.26,82.80954
1761438600000,111742.27,111880.0,111728.26,111844.64,108.97895
1761439500000,111844.64,111899.56,111693.92,111715.98,127.76724
1761440400000,111715.98,111835.85,111693.0,111795.74,70.21175
1761441300000,111795.75,111804.07,111692.67,111711.01,51.36653
1761442200000,111711.01,111785.9,111693.83,111747.87,30.36993
1761443100000,111747.88,111790.62,111520.0,111644.42,118.74866
1761444000000,111644.41,111644.42,111473.53,111558.97,55.10235
1761444900000,111558.98,111660.61,111540.96,111660.61,32.5797
1761445800000,111660.61,111687.37,111561.06,111588.17,43.8256
