t,o,h,l,c,v
1761413400000,2.5924,2.5965,2.5915,2.5965,369075.4
1761414300000,2.5964,2.6,2.5951,2.5984,358855.7
1761415200000,2.5983,2.6037,2.5949,2.5999,698046.0
1761416100000,2.5998,2.6092,2.5989,2.6092,534020.3
1761417000000,2.6093,2.6239,2.6069,2.6237,1275527.1
1761417900000,2.6237,2.645,2.6236,2.6418,3027358.2
1761418800000,2.6417,2.6542,2.634,2.6347,4406813.8
1761419700000,2.6347,2.6353,2.6211,2.6211,1250931.9
1761420600000,2.6211,2.6214,2.6139,2.6146,1049139.4
1761421500000,2.6145,2.6146,2.6041,2.6046,994952.9
1761422400000,2.6047,2.6166,2.6045,2.6123,1262682.8
1761423300000,2.6123,2.6181,2.6115,2.6159,834843.3
1761424200000,2.6159,2.6168,2.6032,2.6061,805782.4
1761425100000,2.6062,2.6126,2.598,2.6013,789143.7
1761426000000,2.6012,2.6056,2.6,2.603,513138.9
1761426900000,2.6029,2.6081,2.6009,2.6074,612659.8
1761427800000,2.6074,2.6079,2.5971,2.5974,576258.1
1761428700000,2.5975,2.6009,2.5926,2.5973,541942.2
1761429600000,2.5973,2.5974,2.5891,2.592,1352011.8
1761430500000,2.5919,2.5967,2.5914,2.5943,319641.7
1761431400000,2.5942,2.5967,2.5927,2.594,526050.8
1761432300000,2.5941,2.6035,2.5923,2.6007,513724.4
1761433200000,2.6007,2.6008,2.5931,2.5977,576508.1
1761434100000,2.5977,2.6012,2.594,2.6002,318806.0
1761435000000,2.6002,2.6014,2.5945,2.5949,371909.2
1761435900000,2.5948,2.5982,2.5912,2.5959,769367.1
1761436800000,2.5958,2.6113,2.592,2.611,969843.1
1761437700000,2.6109,2.623,2.6066,2.6218,1222567.2
1761438600000,2.6217,2.6255,2.6145,2.6206,1044610.8
1761439500000,2.6206,2.628,2.6131,2.6184,742407.3
1761440400000,2.6184,2.6286,2.6171,2.6195,858278.3
1761441300000,2.6195,2.6204,2.6089,2.6109,616789.6
1761442200000,2.6109,2.6225,2.6068,2.6186,579070.7
1761443100000,2.6186,2.6211,2.6097,2.6179,905259.0
1761444000000,2.6178,2.6178,2.6057,2.6151,748317.4
1761444900000,2.615,2.6162,2.6089,2.6126,435047.0
1761445800000,2.6125,2.6132,2.603,2.6092,373899.7
1761446700000,2.6092,2.6099,2.5947,2.5969,763435.5
1761447600000,2.5969,2.6031,2.5949,2.6013,350979.7
1761448500000,2.6013,2.6137,2.5982,2.6114,540206.4
1761449400000,2.6113,2.6134,2.6025,2.6038,532307.6
